num_questions,num_choices,encrypt_time,verify_time
1,4,3.847,3.798
1,4,3.743,3.671
1,4,3.736,3.710
1,1,0.132,0.142
1,2,0.484,0.505
1,3,1.435,1.423
1,4,3.742,3.682
1,5,9.253,9.072
1,6,22.318,21.689
1,7,49.997,48.544
1,8,112.555,109.190
1,9,267.435,257.899
1,10,588.498,567.943
4,1,0.522,0.556
4,2,1.958,1.990
4,3,5.921,5.890
4,4,14.923,14.800
4,5,37.115,36.617
4,6,89.111,86.596
4,7,208.165,202.303
4,8,465.492,450.773
4,9,1028.477,995.504
4,10,2312.832,2232.061
6,1,0.765,0.838
6,2,2.875,2.903
6,3,8.270,8.322
6,4,21.781,21.649
6,5,54.115,53.394
6,6,128.572,125.532
6,7,299.356,291.621
2,1,0.275,0.278
2,2,0.955,0.980
2,3,3.024,2.898
2,4,7.588,7.355
6,8,680.534,660.275
2,5,19.173,18.840
2,6,50.033,47.881
2,7,103.489,101.097
2,8,236.018,228.303
2,9,533.197,515.560
6,9,1592.425,1540.343
2,10,1159.107,1117.948
8,1,1.008,1.096
8,2,3.860,3.945
8,3,11.122,11.169
8,4,28.770,28.547
8,5,71.406,70.234
8,6,170.727,167.107
8,7,396.479,386.417
8,8,915.527,888.156
6,10,3415.496,3303.432
8,9,2061.284,1994.017
8,10,4587.205,4434.087
