num_voters,num_questions,num_choices,tally_time,decrypt_time
50,1,1,0.027,0.021
50,1,1,0.011,0.019
50,1,1,0.012,0.020
50,1,1,0.011,0.019
50,1,1,0.011,0.019
50,1,2,0.014,0.033
50,1,2,0.015,0.034
50,1,2,0.014,0.035
50,1,2,0.012,0.035
50,1,2,0.014,0.035
50,1,3,0.015,0.048
50,1,3,0.016,0.049
50,1,3,0.016,0.047
50,1,3,0.018,0.050
50,1,3,0.015,0.055
50,1,4,0.019,0.063
50,1,4,0.016,0.065
50,1,4,0.017,0.064
50,1,4,0.019,0.067
50,1,4,0.034,0.090
50,1,5,0.042,0.184
50,1,5,0.018,0.077
50,1,5,0.020,0.083
50,1,5,0.018,0.082
50,1,5,0.021,0.078
50,1,6,0.020,0.091
50,1,6,0.024,0.101
50,1,6,0.022,0.094
50,1,6,0.021,0.094
50,1,6,0.022,0.095
50,1,7,0.023,0.107
50,1,7,0.022,0.106
50,1,7,0.022,0.105
50,1,7,0.022,0.106
50,1,7,0.023,0.107
50,1,9,0.026,0.133
50,1,9,0.028,0.135
50,1,9,0.030,0.140
50,1,9,0.028,0.136
50,1,9,0.027,0.134
50,1,9,0.026,0.134
50,1,9,0.028,0.139
50,1,9,0.030,0.137
50,1,9,0.032,0.137
50,1,9,0.028,0.137
50,1,10,0.032,0.158
50,1,10,0.029,0.150
50,1,10,0.038,0.159
50,1,10,0.034,0.161
50,1,10,0.028,0.149
50,2,1,0.013,0.034
50,2,1,0.012,0.032
50,2,1,0.013,0.032
50,2,1,0.013,0.033
50,2,1,0.013,0.032
50,2,2,0.016,0.061
50,2,2,0.016,0.061
50,2,2,0.016,0.067
50,2,2,0.016,0.064
50,2,2,0.016,0.062
50,2,3,0.022,0.090
50,2,3,0.020,0.091
50,2,3,0.019,0.090
50,2,3,0.019,0.091
50,2,3,0.019,0.090
50,2,4,0.023,0.119
50,2,4,0.022,0.119
50,2,4,0.023,0.119
50,2,4,0.022,0.119
50,2,4,0.023,0.119
50,2,5,0.027,0.148
50,2,5,0.025,0.148
50,2,5,0.026,0.147
50,2,5,0.026,0.149
50,2,5,0.029,0.151
50,2,6,0.030,0.173
50,2,6,0.031,0.181
50,2,6,0.031,0.172
